"user";"revenue";"units";"ls.date";"tsls";"rating";"ttp";"total.sessions";"completed";"completed.post";"win.rate";"tries";"device";"tbs";"tsad"
9484;"NULL";"NULL";"2015-05-26";"168429";1;4667;7;"0.222222222222";"0.222222222222";"0.12";"25.0";"iphone";"2481.0";184161
6138;"NULL";"NULL";"2015-05-27";"19447";0;3662;8;"0.333333333333";"0.333333333333";"0.375";"32.0";"ipad";"8931.0";82612
4036;"NULL";"NULL";"2015-05-25";"190267";-1;3;2;"NULL";"NULL";"NULL";"NULL";"iphone";"109.0";190271
786;"NULL";"NULL";"NULL";"NULL";-1;0;1;"0.155555555556";"0.155555555556";"0.5";"2.0";"iphone";"NULL";75918
6968;"NULL";"NULL";"2015-05-27";"2671";-1;0;1;"0.133333333333";"0.133333333333";"NULL";"NULL";"iphone";"NULL";2672
6544;"NULL";"NULL";"2015-05-27";"50283";0;392;2;"0.155555555556";"0.155555555556";"0.5";"4.0";"ipad";"141911.0";192402
6109;"NULL";"NULL";"2015-05-27";"15055";0;666;1;"0.177777777778";"0.177777777778";"0.5";"4.0";"ipad";"NULL";15722
5702;"NULL";"NULL";"2015-05-27";"46124";0;2444;2;"0.4";"0.422222222222";"0.833333333333";"18.0";"iphone";"6633.0";53232
9980;"NULL";"NULL";"NULL";"NULL";-1;0;1;"0.133333333333";"0.133333333333";"NULL";"NULL";"ipad";"NULL";180130
3849;"NULL";"NULL";"2015-05-27";"78595";0;1247;1;"0.222222222222";"0.333333333333";"0.5";"8.0";"ipad";"NULL";79843
5286;"NULL";"NULL";"NULL";"NULL";-1;0;1;"0.155555555556";"0.155555555556";"1.0";"2.0";"ipad";"NULL";237467
261;"NULL";"NULL";"NULL";"NULL";0;0;1;"0.177777777778";"0.177777777778";"1.0";"3.0";"iphone";"NULL";21428
2326;"NULL";"NULL";"2015-05-26";"131812";0;3769;4;"0.4";"0.4";"0.275862068966";"29.0";"ipad";"31537.3333333";188084
9769;"NULL";"NULL";"NULL";"NULL";-1;0;1;"0.133333333333";"0.133333333333";"1.0";"1.0";"iphone";"NULL";126061
4545;"NULL";"NULL";"2015-05-27";"21578";0;2115;6;"0.333333333333";"0.333333333333";"0.636363636364";"11.0";"iphone";"34932.2";196387
4914;"NULL";"NULL";"NULL";"NULL";1;0;1;"0.155555555556";"0.155555555556";"0.285714285714";"7.0";"iphone";"NULL";46775
4242;"NULL";"NULL";"NULL";"NULL";-1;0;1;"NULL";"NULL";"NULL";"NULL";"iphone";"NULL";216213
4945;"NULL";"NULL";"2015-05-27";"70625";-1;426;2;"0.133333333333";"0.133333333333";"1.0";"2.0";"ipad";"21053.0";91922
8386;"NULL";"NULL";"2015-05-26";"91639";0;1473;2;"0.222222222222";"0.222222222222";"0.75";"4.0";"iphone";"2760.0";93113
7134;"NULL";"NULL";"2015-05-25";"191703";0;592;3;"0.222222222222";"0.222222222222";"1.0";"3.0";"ipod";"1753.5";195118
7623;"NULL";"NULL";"NULL";"NULL";0;0;1;"0.155555555556";"0.155555555556";"1.0";"2.0";"iphone";"NULL";191936
4614;"NULL";"NULL";"2015-05-27";"28498";0;6650;5;"0.444444444444";"0.444444444444";"0.512820512821";"39.0";"ipad";"15916.25";81530
8286;"NULL";"NULL";"NULL";"NULL";-1;0;1;"0.133333333333";"0.133333333333";"NULL";"NULL";"iphone";"NULL";12510
602;"NULL";"NULL";"2015-05-25";"257193";-1;15;2;"0.133333333333";"0.133333333333";"0.5";"2.0";"iphone";"178.0";257209
3405;"NULL";"NULL";"NULL";"NULL";0;0;1;"0.288888888889";"0.288888888889";"0.636363636364";"11.0";"iphone";"NULL";123108
5267;"NULL";"NULL";"2015-05-27";"51100";0;1573;3;"0.4";"0.4";"0.941176470588";"17.0";"ipad";"38732.5";121107
3479;"NULL";"NULL";"2015-05-27";"6401";0;8049;7;"0.666666666667";"0.777777777778";"0.8";"30.0";"iphone";"11916.1666667";78155
1283;"NULL";"NULL";"2015-05-27";"27720";0;1479;3;"0.222222222222";"0.222222222222";"0.75";"4.0";"iphone";"29205.5";86563
8905;"NULL";"NULL";"2015-05-25";"222589";-1;130;1;"0.133333333333";"0.288888888889";"1.0";"1.0";"ipod";"NULL";222720
4895;"NULL";"NULL";"2015-05-27";"21114";0;6467;5;"0.444444444444";"0.511111111111";"0.592592592593";"27.0";"iphone";"44359.25";199907
1221;"NULL";"NULL";"2015-05-27";"990";0;1086;4;"0.222222222222";"0.222222222222";"0.529411764706";"17.0";"ipod";"190.0";78726
9488;"NULL";"NULL";"2015-05-26";"140314";0;226;3;"0.155555555556";"0.155555555556";"1.0";"2.0";"iphone";"38001.5";140689
9961;"NULL";"NULL";"2015-05-27";"16641";0;27830;4;"0.688888888889";"0.822222222222";"0.445945945946";"74.0";"ipad";"50702.3333333";171908
5312;"NULL";"NULL";"2015-05-25";"202735";0;520;2;"0.555555555556";"0.555555555556";"0.5";"30.0";"iphone";"27809.0";203256
275;"NULL";"NULL";"2015-05-26";"156962";-1;162;2;"0.133333333333";"0.133333333333";"NULL";"NULL";"iphone";"86189.0";157125
5862;"NULL";"NULL";"2015-05-26";"151494";0;2144;4;"0.4";"0.4";"0.761904761905";"21.0";"iphone";"3409.33333333";161549
7278;"NULL";"NULL";"NULL";"NULL";-1;0;1;"0.133333333333";"0.133333333333";"1.0";"1.0";"ipod";"NULL";190492
6515;"NULL";"NULL";"2015-05-26";"107570";0;17879;8;"0.666666666667";"0.666666666667";"0.678571428571";"28.0";"ipad";"18572.0";236563
3261;"NULL";"NULL";"2015-05-26";"103345";0;1223;5;"0.333333333333";"0.333333333333";"0.7";"10.0";"iphone";"931.75";107167
6251;"NULL";"NULL";"2015-05-26";"152648";0;4546;4;"0.666666666667";"0.666666666667";"0.741935483871";"31.0";"ipad";"2028.33333333";158611
7605;"NULL";"NULL";"NULL";"NULL";0;0;1;"0.266666666667";"0.266666666667";"0.714285714286";"7.0";"iphone";"NULL";92483
9053;"NULL";"NULL";"NULL";"NULL";-1;0;1;"NULL";"NULL";"NULL";"NULL";"iphone";"NULL";104660
2191;"NULL";"NULL";"2015-05-27";"40687";0;871;2;"0.266666666667";"0.4";"0.666666666667";"9.0";"iphone";"17.0";41576
8632;"NULL";"NULL";"NULL";"NULL";0;0;1;"0.222222222222";"0.222222222222";"0.666666666667";"3.0";"iphone";"NULL";126888
2777;"NULL";"NULL";"2015-05-25";"196524";-1;125;2;"0.155555555556";"0.155555555556";"1.0";"2.0";"ipad";"480.0";196650
668;"NULL";"NULL";"2015-05-25";"173874";0;1392;3;"0.4";"0.4";"0.615384615385";"13.0";"ipad";"1339.0";175291
8334;"NULL";"NULL";"2015-05-27";"80268";-1;180;2;"0.133333333333";"0.222222222222";"1.0";"1.0";"iphone";"86599.0";166871
9111;"NULL";"NULL";"NULL";"NULL";-1;0;1;"0.155555555556";"0.155555555556";"1.0";"2.0";"ipod";"NULL";24849
3516;"NULL";"NULL";"NULL";"NULL";-1;0;1;"0.133333333333";"0.133333333333";"1.0";"1.0";"iphone";"NULL";193643
4272;"NULL";"NULL";"NULL";"NULL";-1;0;1;"0.133333333333";"0.133333333333";"1.0";"1.0";"iphone";"NULL";102170
3521;"NULL";"NULL";"NULL";"NULL";0;0;1;"0.155555555556";"0.155555555556";"0.666666666667";"3.0";"iphone";"NULL";58131
5130;"NULL";"NULL";"2015-05-26";"143935";-1;242;2;"0.133333333333";"0.133333333333";"0.333333333333";"3.0";"iphone";"60110.0";204189
545;"NULL";"NULL";"2015-05-27";"46379";0;586;3;"0.222222222222";"0.222222222222";"0.571428571429";"7.0";"iphone";"34326.0";107251
5103;"NULL";"NULL";"2015-05-27";"42345";0;2039;9;"0.2";"0.288888888889";"0.1875";"16.0";"iphone";"12362.25";141617
9613;"NULL";"NULL";"NULL";"NULL";0;0;1;"0.266666666667";"0.266666666667";"1.0";"5.0";"iphone";"NULL";107443
1920;"NULL";"NULL";"2015-05-25";"193828";0;775;2;"0.444444444444";"0.444444444444";"0.647058823529";"17.0";"iphone";"792.0";194604
4069;"NULL";"NULL";"2015-05-27";"47799";0;4054;7;"0.288888888889";"0.288888888889";"0.32";"50.0";"iphone";"34602.1666667";255645
6477;"NULL";"NULL";"2015-05-26";"128729";-1;340;2;"0.155555555556";"0.444444444444";"0.666666666667";"3.0";"ipod";"515.0";129358
215;"NULL";"NULL";"2015-05-27";"6681";0;1637;1;"0.311111111111";"0.355555555556";"0.52380952381";"21.0";"ipad";"NULL";8319
4638;"NULL";"NULL";"NULL";"NULL";-1;0;1;"NULL";"NULL";"NULL";"NULL";"iphone";"NULL";6167
6665;"NULL";"NULL";"2015-05-27";"85139";0;1205;2;"0.222222222222";"0.222222222222";"1.0";"3.0";"iphone";"3419.0";89361
3706;"NULL";"NULL";"2015-05-27";"45336";0;19;2;"0.222222222222";"0.222222222222";"1.0";"3.0";"iphone";"24.0";45356
8144;"NULL";"NULL";"NULL";"NULL";-1;0;1;"0.133333333333";"0.133333333333";"NULL";"NULL";"iphone";"NULL";55990
7972;"NULL";"NULL";"NULL";"NULL";-1;0;1;"0.133333333333";"0.133333333333";"NULL";"NULL";"ipad";"NULL";181811
3044;"NULL";"NULL";"2015-05-27";"80760";0;3295;6;"0.444444444444";"0.444444444444";"0.736842105263";"19.0";"iphone";"45181.2";249475
7327;"NULL";"NULL";"2015-05-26";"148349";-1;168;3;"0.133333333333";"0.133333333333";"0.333333333333";"3.0";"iphone";"165.0";148653
5420;"NULL";"NULL";"NULL";"NULL";-1;0;1;"0.133333333333";"0.133333333333";"NULL";"NULL";"iphone";"NULL";122401
1528;"NULL";"NULL";"NULL";"NULL";-1;0;1;"0.155555555556";"0.155555555556";"1.0";"2.0";"iphone";"NULL";21814
9810;"NULL";"NULL";"2015-05-27";"21644";0;802;4;"0.177777777778";"0.222222222222";"0.285714285714";"7.0";"iphone";"74978.3333333";246752
6510;"NULL";"NULL";"NULL";"NULL";1;0;1;"0.222222222222";"0.222222222222";"0.666666666667";"3.0";"iphone";"NULL";244364
1019;"NULL";"NULL";"2015-05-25";"200012";0;448;2;"0.222222222222";"0.222222222222";"0.6";"5.0";"iphone";"1217.0";200461
1540;"NULL";"NULL";"2015-05-25";"255016";0;1890;2;"0.4";"0.4";"0.866666666667";"15.0";"iphone";"103493.0";256907
1863;"NULL";"NULL";"NULL";"NULL";-1;0;1;"0.133333333333";"0.133333333333";"1.0";"1.0";"iphone";"NULL";161161
